[9:12:05 AM]: Building...
[9:12:05 AM]: Building index.html...
[9:12:06 AM]: Building normalize.css...
[9:12:06 AM]: Building index.js...
[9:12:06 AM]: Building index.js...
[9:12:06 AM]: Building index.js...
[9:12:06 AM]: Building Routes.js...
[9:12:06 AM]: Building react-router-dom.js...
[9:12:06 AM]: Building index.js...
[9:12:06 AM]: Building css-loader.js...
[9:12:06 AM]: Building Add.js...
[9:12:06 AM]: Building Edit.js...
[9:12:06 AM]: Building List.js...
[9:12:06 AM]: Building Home.js...
[9:12:06 AM]: Building NotFound.js...
[9:12:06 AM]: Building react.development.js...
[9:12:06 AM]: Building shim.js...
[9:12:06 AM]: Building runtime.js...
[9:12:06 AM]: Building escape.js...
[9:12:06 AM]: Building react-dom.development.js...
[9:12:06 AM]: Building SingleColumn.js...
[9:12:06 AM]: Built pages/Home.js...
[9:12:06 AM]: Building core.regexp.escape.js...
[9:12:06 AM]: Building _core.js...
[9:12:06 AM]: Building index.js...
[9:12:06 AM]: Building asyncToGenerator.js...
[9:12:06 AM]: Building slicedToArray.js...
[9:12:06 AM]: Building index.js...
[9:12:06 AM]: Building index.js...
[9:12:06 AM]: Building index.js...
[9:12:06 AM]: Building bundle-url.js...
[9:12:06 AM]: Building formik.esm.js...
[9:12:06 AM]: Building index.js...
[9:12:06 AM]: Building Form.js...
[9:12:06 AM]: Building styles.js...
[9:12:06 AM]: Building styledComponent.js...
[9:12:06 AM]: Building Header.js...
[9:12:06 AM]: Building moment.js...
[9:12:06 AM]: Building es6.symbol.js...
[9:12:06 AM]: Building es6.object.create.js...
[9:12:06 AM]: Building es6.object.define-property.js...
[9:12:06 AM]: Building es6.object.define-properties.js...
[9:12:06 AM]: Building es6.object.get-own-property-descriptor.js...
[9:12:06 AM]: Building es6.object.get-prototype-of.js...
[9:12:06 AM]: Building es6.object.keys.js...
[9:12:06 AM]: Building es6.object.get-own-property-names.js...
[9:12:06 AM]: Building es6.object.freeze.js...
[9:12:06 AM]: Building es6.object.seal.js...
[9:12:06 AM]: Building es6.object.prevent-extensions.js...
[9:12:06 AM]: Building es6.object.is-frozen.js...
[9:12:06 AM]: Building es6.object.is-sealed.js...
[9:12:06 AM]: Building es6.object.is-extensible.js...
[9:12:06 AM]: Building es6.object.assign.js...
[9:12:06 AM]: Building es6.object.is.js...
[9:12:06 AM]: Building es6.object.set-prototype-of.js...
[9:12:06 AM]: Building es6.object.to-string.js...
[9:12:06 AM]: Building es6.function.bind.js...
[9:12:06 AM]: Building es6.function.name.js...
[9:12:06 AM]: Building es6.function.has-instance.js...
[9:12:06 AM]: Building es6.parse-int.js...
[9:12:06 AM]: Building es6.parse-float.js...
[9:12:06 AM]: Building es6.number.constructor.js...
[9:12:06 AM]: Building es6.number.to-fixed.js...
[9:12:06 AM]: Building es6.number.to-precision.js...
[9:12:06 AM]: Building es6.number.epsilon.js...
[9:12:06 AM]: Building es6.number.is-finite.js...
[9:12:06 AM]: Building es6.number.is-integer.js...
[9:12:06 AM]: Building es6.number.is-nan.js...
[9:12:06 AM]: Building es6.number.is-safe-integer.js...
[9:12:06 AM]: Building es6.number.max-safe-integer.js...
[9:12:06 AM]: Building es6.number.min-safe-integer.js...
[9:12:06 AM]: Building es6.number.parse-float.js...
[9:12:06 AM]: Building es6.number.parse-int.js...
[9:12:06 AM]: Building es6.math.acosh.js...
[9:12:06 AM]: Building es6.math.asinh.js...
[9:12:06 AM]: Building es6.math.atanh.js...
[9:12:06 AM]: Building es6.math.cbrt.js...
[9:12:06 AM]: Building es6.math.clz32.js...
[9:12:06 AM]: Building es6.math.cosh.js...
[9:12:06 AM]: Building es6.math.expm1.js...
[9:12:06 AM]: Building es6.math.fround.js...
[9:12:06 AM]: Building es6.math.hypot.js...
[9:12:06 AM]: Building es6.math.imul.js...
[9:12:06 AM]: Building es6.math.log10.js...
[9:12:06 AM]: Building es6.math.log1p.js...
[9:12:06 AM]: Building es6.math.log2.js...
[9:12:06 AM]: Building es6.math.sign.js...
[9:12:06 AM]: Building es6.math.sinh.js...
[9:12:06 AM]: Building es6.math.tanh.js...
[9:12:06 AM]: Building es6.math.trunc.js...
[9:12:06 AM]: Building es6.string.from-code-point.js...
[9:12:06 AM]: Building es6.string.raw.js...
[9:12:06 AM]: Building es6.string.trim.js...
[9:12:06 AM]: Building es6.string.iterator.js...
[9:12:06 AM]: Building es6.string.code-point-at.js...
[9:12:06 AM]: Building es6.string.ends-with.js...
[9:12:06 AM]: Building es6.string.includes.js...
[9:12:06 AM]: Building es6.string.repeat.js...
[9:12:06 AM]: Building es6.string.starts-with.js...
[9:12:06 AM]: Building es6.string.anchor.js...
[9:12:06 AM]: Building es6.string.big.js...
[9:12:06 AM]: Building es6.string.blink.js...
[9:12:06 AM]: Building es6.string.bold.js...
[9:12:06 AM]: Building es6.string.fixed.js...
[9:12:06 AM]: Building es6.string.fontcolor.js...
[9:12:06 AM]: Building es6.string.fontsize.js...
[9:12:06 AM]: Building es6.string.italics.js...
[9:12:06 AM]: Building es6.string.link.js...
[9:12:06 AM]: Building es6.string.small.js...
[9:12:06 AM]: Building es6.string.strike.js...
[9:12:06 AM]: Building es6.string.sub.js...
[9:12:06 AM]: Building es6.string.sup.js...
[9:12:06 AM]: Building es6.date.now.js...
[9:12:06 AM]: Building es6.date.to-json.js...
[9:12:06 AM]: Building es6.date.to-iso-string.js...
[9:12:06 AM]: Building es6.date.to-string.js...
[9:12:06 AM]: Building es6.date.to-primitive.js...
[9:12:06 AM]: Building es6.array.is-array.js...
[9:12:06 AM]: Building es6.array.from.js...
[9:12:06 AM]: Building es6.array.of.js...
[9:12:06 AM]: Building es6.array.join.js...
[9:12:06 AM]: Building es6.array.slice.js...
[9:12:06 AM]: Building es6.array.sort.js...
